# Informe Mensal FIDC — observed CSV headers, competência 2026-08 (fetched 2026-09-11 from dados.cvm.gov.br)
# One block per ZIP member. Separator ';'. Encoding latin-1. This is the raw observation the mapping freeze (BACKLOG #1) diffs against Suplemento G.

## inf_mensal_fidc_tab_III_202608.csv  (13 columns, 664 data rows)
   79  TAB_I2B12_PR_CEDENTE_8
   80  TAB_I2B12_CPF_CNPJ_CEDENTE_9
   81  TAB_I2B12_PR_CEDENTE_9
   82  TAB_I2C_VL_VLMOB
   83  TAB_I2C1_VL_DEBENTURE
   84  TAB_I2C2_VL_CRI
   85  TAB_I2C3_VL_NP_COMERC
   86  TAB_I2C4_VL_LETRA_FINANC
   87  TAB_I2C5_VL_COTA_FUNDO_ICVM555
   88  TAB_I2C5_VL_COTA_FIF
   89  TAB_I2C6_VL_OUTRO
   90  TAB_I2D_VL_TITPUB_FED
   91  TAB_I2E_VL_CDB
   92  TAB_I2F_VL_OPER_COMPROM
   93  TAB_I2G_VL_OUTRO_RF
   94  TAB_I2H_VL_COTA_FIDC
   95  TAB_I2I_VL_COTA_FIDC_NP
   96  TAB_I2J_VL_CONTRATO_FUTURO
   97  TAB_I2_DEBENTURE_CRI
   98  TAB_I2_COTA_FIDC
   99  TAB_I2_VL_OUTRO_ATIVO
  100  TAB_I3_VL_POSICAO_DERIV
  101  TAB_I3A_VL_MERCADO_TERMO
  102  TAB_I3B_VL_MERCADO_OPCAO
  103  TAB_I3C_VL_MERCADO_FUTURO
  104  TAB_I3D_VL_DIFER_SWAP
  105  TAB_I3E_VL_COBERTURA
  106  TAB_I3F_VL_DEPOSITO_MARGEM
  107  TAB_I4_VL_OUTRO_ATIVO
  108  TAB_I4A_VL_CPRAZO
  109  TAB_I4B_VL_LPRAZO

## inf_mensal_fidc_tab_VIII_202608.csv  (6 columns, 4971 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  SEQUENCIAL
    6  VALOR

## inf_mensal_fidc_tab_VII_202608.csv  (29 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_VII_A1_1_QT_DIRCRED_RISCO
    6  TAB_VII_A1_2_VL_DIRCRED_RISCO
    7  TAB_VII_A2_1_QT_DIRCRED_SEM_RISCO
    8  TAB_VII_A2_2_VL_DIRCRED_SEM_RISCO
    9  TAB_VII_A3_1_QT_DIRCRED_VENC_AD
   10  TAB_VII_A3_2_VL_DIRCRED_VENC_AD
   11  TAB_VII_A4_1_QT_DIRCRED_VENC_INAD
   12  TAB_VII_A4_2_VL_DIRCRED_VENC_INAD
   13  TAB_VII_A5_1_QT_DIRCRED_INAD
   14  TAB_VII_A5_2_VL_DIRCRED_INAD
   15  TAB_VII_B1_1_QT_CEDENTE
   16  TAB_VII_B1_2_VL_CEDENTE
   17  TAB_VII_B1_3_VL_CONTAB_CEDENTE
